Entity,Code,Year,Share of total municipal solid waste collected
Afghanistan,AFG,2020,52
Albania,ALB,2020,77
Algeria,DZA,2020,92
American Samoa,ASM,2020,100
Andorra,AND,2020,100
Angola,AGO,2020,23.1
Anguilla,AIA,2020,92.902275
Antigua and Barbuda,ATG,2020,98.61
Argentina,ARG,2020,89.91
Armenia,ARM,2020,80
Aruba,ABW,2020,92.902275
Australia,AUS,2020,99
Austria,AUT,2020,100
Azerbaijan,AZE,2020,56
Bahamas,BHS,2020,92.902275
Bahrain,BHR,2020,100
Bangladesh,BGD,2020,52
Barbados,BRB,2020,90
Belarus,BLR,2020,100
Belgium,BEL,2020,100
Belize,BLZ,2020,85.2
Benin,BEN,2020,23
Bermuda,BMU,2020,100
Bhutan,BTN,2020,94
Bolivia,BOL,2020,57.6
Bosnia and Herzegovina,BIH,2020,73.99
Botswana,BWA,2020,23.6
Brazil,BRA,2020,91.3
British Virgin Islands,VGB,2020,97.2
Brunei,BRN,2020,94.95234
Bulgaria,BGR,2020,98.3
Burkina Faso,BFA,2020,34.52
Burundi,BDI,2020,36.47612
Cambodia,KHM,2020,75
Cameroon,CMR,2020,61.6
Canada,CAN,2020,99
Cape Verde,CPV,2020,70.6
Cayman Islands,CYM,2020,92.902275
Central African Republic,CAF,2020,36.47612
Chad,TCD,2020,36.47612
Channel Islands,OWID_CIS,2020,99.91863
Chile,CHL,2020,95
China,CHN,2020,94
Christmas Island,CXR,2020,94.95234
Cocos Islands,CCK,2020,94.95234
Colombia,COL,2020,98
Comoros,COM,2020,20
Congo,COG,2020,45.6861
Cook Islands,COK,2020,94.95234
Costa Rica,CRI,2020,90.4
Cote d'Ivoire,CIV,2020,45.6861
Croatia,HRV,2020,97.76
Cuba,CUB,2020,76.9
Curacao,CUW,2020,92.902275
Cyprus,CYP,2020,92.42
Czechia,CZE,2020,100
Democratic Republic of Congo,COD,2020,36.47612
Denmark,DNK,2020,100
Dhekelia,,2020,97.6901
Djibouti,DJI,2020,65.89891
Dominica,DMA,2020,94
Dominican Republic,DOM,2020,69
East Timor,TLS,2020,66.05336
Ecuador,ECU,2020,81
Egypt,EGY,2020,62.5
El Salvador,SLV,2020,78.8
Equatorial Guinea,GNQ,2020,23.6
Eritrea,ERI,2020,45.6861
Estonia,EST,2020,86.89
Eswatini,SWZ,2020,23.6
Ethiopia,ETH,2020,50
Falkland Islands,FLK,2020,92.902275
Faroe Islands,FRO,2020,99.91863
Fiji,FJI,2020,90.747826
Finland,FIN,2020,100
France,FRA,2020,100
French Guiana,GUF,2020,97.6901
French Polynesia,PYF,2020,51
Gabon,GAB,2020,23.6
Gambia,GMB,2020,36.47612
Georgia,GEO,2020,60
Germany,DEU,2020,100
Ghana,GHA,2020,85
Gibraltar,GIB,2020,97.6901
Greece,GRC,2020,100
Greenland,GRL,2020,98.792366
Grenada,GRD,2020,100
Guadeloupe,GLP,2020,92.902275
Guam,GUM,2020,100
Guatemala,GTM,2020,77.7
Guernsey,GGY,2020,97.6901
Guinea,GIN,2020,36.47612
Guinea-Bissau,GNB,2020,36.47612
Guyana,GUY,2020,89
Haiti,HTI,2020,11
Honduras,HND,2020,68
Hong Kong,HKG,2020,100
Hungary,HUN,2020,99.94
Iceland,ISL,2020,100
India,IND,2020,52
Indonesia,IDN,2020,80
Iran,IRN,2020,100
Iraq,IRQ,2020,76
Ireland,IRL,2020,92.04
Isle of Man,IMN,2020,96
Israel,ISR,2020,100
Italy,ITA,2020,100
Jamaica,JAM,2020,76
Japan,JPN,2020,100
Jersey,JEY,2020,97.6901
Jordan,JOR,2020,95
Kazakhstan,KAZ,2020,77
Kenya,KEN,2020,40
Kiribati,KIR,2020,54
Kosovo,OWID_KOS,2020,39
Kuwait,KWT,2020,100
Kyrgyzstan,KGZ,2020,77.26673
Laos,LAO,2020,55
Latvia,LVA,2020,84.36
Lebanon,LBN,2020,100
Lesotho,LSO,2020,20
Liberia,LBR,2020,36.47612
Libya,LBY,2020,90.42822
Liechtenstein,LIE,2020,100
Lithuania,LTU,2020,98.69
Luxembourg,LUX,2020,100
Macao,MAC,2020,100
Madagascar,MDG,2020,18
Malawi,MWI,2020,36.47612
Malaysia,MYS,2020,95
Maldives,MDV,2020,38.2
Mali,MLI,2020,40
Malta,MLT,2020,100
Marshall Islands,MHL,2020,60
Martinique,MTQ,2020,92.902275
Mauritania,MRT,2020,65.28197
Mauritius,MUS,2020,98
Mayotte,MYT,2020,97.6901
Mexico,MEX,2020,93.4
Micronesia (country),FSM,2020,8
Moldova,MDA,2020,77.26673
Monaco,MCO,2020,100
Mongolia,MNG,2020,90.747826
Montenegro,MNE,2020,96.99
Montserrat,MSR,2020,92.902275
Morocco,MAR,2020,86
Mozambique,MOZ,2020,52.5
Myanmar,MMR,2020,60
Namibia,NAM,2020,23.6
Nauru,NRU,2020,100
Nepal,NPL,2020,94
Netherlands,NLD,2020,100
Netherlands Antilles,ANT,2020,97.6901
New Caledonia,NCL,2020,67
New Zealand,NZL,2020,97
Nicaragua,NIC,2020,92.3
Niger,NER,2020,36.47612
Nigeria,NGA,2020,45.6861
Niue,NIU,2020,94.95234
Norfolk Island,NFK,2020,95
North Korea,PRK,2020,77.100365
North Macedonia,MKD,2020,76.61
Northern Mariana Islands,MNP,2020,99.29029
Norway,NOR,2020,99
Oman,OMN,2020,100
Pakistan,PAK,2020,52
Palau,PLW,2020,77
Palestine,PSE,2020,92.2
Panama,PAN,2020,84.9
Papua New Guinea,PNG,2020,60
Paraguay,PRY,2020,51
Peru,PER,2020,82.93
Philippines,PHL,2020,66.05336
Poland,POL,2020,100
Portugal,PRT,2020,100
Puerto Rico,PRI,2020,92.902275
Qatar,QAT,2020,100
Reunion,REU,2020,97.6901
Romania,ROU,2020,90
Russia,RUS,2020,84.74976
Rwanda,RWA,2020,36.47612
Saint Helena,SHN,2020,92.902275
Saint Kitts and Nevis,KNA,2020,98
Saint Lucia,LCA,2020,100
Saint Martin (French part),MAF,2020,92.902275
Saint Pierre,,2020,92.902275
Saint Vincent and the Grenadines,VCT,2020,91
Samoa,WSM,2020,100
San Marino,SMR,2020,98.792366
Sao Tome and Principe,STP,2020,48.4
Saudi Arabia,SAU,2020,100
Senegal,SEN,2020,21.4
Serbia,SRB,2020,74.67
Seychelles,SYC,2020,95
Sierra Leone,SLE,2020,44
Singapore,SGP,2020,100
Sint Maarten (Dutch part),SXM,2020,92.902275
Slovakia,SVK,2020,100
Slovenia,SVN,2020,93.84
Solomon Islands,SLB,2020,12
Somalia,SOM,2020,36.47612
South Africa,ZAF,2020,23.6
South Korea,KOR,2020,99.92
South Sudan,SSD,2020,36.47612
Spain,ESP,2020,100
Sri Lanka,LKA,2020,52
Sudan,SDN,2020,36.47612
Suriname,SUR,2020,80
Svalbard,,2020,75.86
Sweden,SWE,2020,100
Switzerland,CHE,2020,99
Syria,SYR,2020,80
Taiwan,TWN,2020,99.9789
Tajikistan,TJK,2020,38.25
Tanzania,TZA,2020,48
Thailand,THA,2020,90.747826
Togo,TGO,2020,36.47612
Tokelau,TKL,2020,95
Tonga,TON,2020,71
Trinidad and Tobago,TTO,2020,100
Tunisia,TUN,2020,95
Turkey,TUR,2020,88.12
Turkmenistan,TKM,2020,84.74976
Turks and Caicos Islands,TCA,2020,92.902275
Tuvalu,TUV,2020,47
Uganda,UGA,2020,39
Ukraine,UKR,2020,75.86
United Arab Emirates,ARE,2020,98.14322
United Kingdom,GBR,2020,100
United States,USA,2020,100
United States Virgin Islands,VIR,2020,92.902275
Uruguay,URY,2020,98
Uzbekistan,UZB,2020,77.26673
Vanuatu,VUT,2020,12
Venezuela,VEN,2020,100
Vietnam,VNM,2020,72
Yemen,YEM,2020,20
Zambia,ZMB,2020,20
Zimbabwe,ZWE,2020,45.6861